date,FA883140005.Q,FA313140003.Q,FA543140005.Q,FA883140005.Q,FA153040005.Q,FA763040005.Q,FA733040005.Q
1960:Q1,3756.00,84.00,3672.00,3756.00,3756.00,0.00,0.00
1960:Q2,3508.00,72.00,3436.00,3508.00,3508.00,0.00,0.00
1960:Q3,3068.00,68.00,3000.00,3068.00,3068.00,0.00,0.00
1960:Q4,2580.00,80.00,2500.00,2580.00,2580.00,0.00,0.00
1961:Q1,2752.00,84.00,2668.00,2752.00,2752.00,0.00,0.00
1961:Q2,3172.00,88.00,3084.00,3172.00,3172.00,0.00,0.00
1961:Q3,3692.00,96.00,3596.00,3692.00,3692.00,0.00,0.00
1961:Q4,4172.00,104.00,4068.00,4172.00,4172.00,0.00,0.00
1962:Q1,4128.00,116.00,4012.00,4128.00,4128.00,0.00,0.00
1962:Q2,3952.00,124.00,3828.00,3952.00,3952.00,0.00,0.00
1962:Q3,3648.00,132.00,3516.00,3648.00,3648.00,0.00,0.00
1962:Q4,3340.00,128.00,3212.00,3340.00,3340.00,0.00,0.00
1963:Q1,3828.00,132.00,3696.00,3828.00,3828.00,0.00,0.00
1963:Q2,4092.00,136.00,3956.00,4092.00,4092.00,0.00,0.00
1963:Q3,4380.00,132.00,4248.00,4380.00,4380.00,0.00,0.00
1963:Q4,4648.00,124.00,4524.00,4648.00,4648.00,0.00,0.00
1964:Q1,4336.00,112.00,4224.00,4336.00,4336.00,0.00,0.00
1964:Q2,4348.00,96.00,4252.00,4348.00,4348.00,0.00,0.00
1964:Q3,4428.00,96.00,4332.00,4428.00,4428.00,0.00,0.00
1964:Q4,4552.00,112.00,4440.00,4552.00,4552.00,0.00,0.00
1965:Q1,4392.00,124.00,4268.00,4392.00,4392.00,0.00,0.00
1965:Q2,4932.00,136.00,4796.00,4932.00,4932.00,0.00,0.00
1965:Q3,5096.00,140.00,4956.00,5096.00,5096.00,0.00,0.00
1965:Q4,4880.00,136.00,4744.00,4880.00,4880.00,0.00,0.00
1966:Q1,4696.00,116.00,4580.00,4696.00,4696.00,0.00,0.00
1966:Q2,4568.00,112.00,4456.00,4568.00,4568.00,0.00,0.00
1966:Q3,4628.00,104.00,4524.00,4628.00,4628.00,0.00,0.00
1966:Q4,4884.00,96.00,4788.00,4884.00,4884.00,0.00,0.00
1967:Q1,5060.00,96.00,4964.00,5060.00,5060.00,0.00,0.00
1967:Q2,4948.00,96.00,4852.00,4948.00,4948.00,0.00,0.00
1967:Q3,4968.00,80.00,4888.00,4968.00,4968.00,0.00,0.00
1967:Q4,4884.00,48.00,4836.00,4884.00,4884.00,0.00,0.00
1968:Q1,4808.00,8.00,4800.00,4808.00,4808.00,0.00,0.00
1968:Q2,4736.00,-32.00,4768.00,4736.00,4736.00,0.00,0.00
1968:Q3,4756.00,-32.00,4788.00,4756.00,4756.00,0.00,0.00
1968:Q4,4856.00,0.00,4856.00,4856.00,4856.00,0.00,0.00
1969:Q1,4948.00,44.00,4904.00,4948.00,4948.00,0.00,0.00
1969:Q2,5012.00,80.00,4932.00,5012.00,5012.00,0.00,0.00
1969:Q3,5076.00,88.00,4988.00,5076.00,5076.00,0.00,0.00
1969:Q4,5116.00,52.00,5064.00,5116.00,5116.00,0.00,0.00
1970:Q1,5364.00,276.00,5088.00,5364.00,5364.00,0.00,0.00
1970:Q2,5104.00,48.00,5056.00,5104.00,5104.00,0.00,0.00
1970:Q3,5264.00,44.00,5220.00,5264.00,5264.00,0.00,0.00
1970:Q4,5632.00,56.00,5576.00,5632.00,5632.00,0.00,0.00
1971:Q1,5996.00,68.00,5928.00,5996.00,5996.00,0.00,0.00
1971:Q2,6336.00,72.00,6264.00,6336.00,6336.00,0.00,0.00
1971:Q3,6524.00,76.00,6448.00,6524.00,6524.00,0.00,0.00
1971:Q4,6552.00,68.00,6484.00,6552.00,6552.00,0.00,0.00
1972:Q1,6676.00,120.00,6556.00,6676.00,6676.00,0.00,0.00
1972:Q2,6824.00,156.00,6668.00,6824.00,6824.00,0.00,0.00
1972:Q3,6944.00,168.00,6776.00,6944.00,6944.00,0.00,0.00
1972:Q4,7056.00,164.00,6892.00,7056.00,7056.00,0.00,0.00
1973:Q1,7216.00,172.00,7044.00,7216.00,7216.00,0.00,0.00
1973:Q2,7420.00,188.00,7232.00,7420.00,7420.00,0.00,0.00
1973:Q3,7452.00,184.00,7268.00,7452.00,7452.00,0.00,0.00
1973:Q4,7304.00,156.00,7148.00,7304.00,7304.00,0.00,0.00
1974:Q1,7132.00,132.00,7000.00,7132.00,7132.00,0.00,0.00
1974:Q2,6928.00,108.00,6820.00,6928.00,6928.00,0.00,0.00
1974:Q3,7020.00,104.00,6916.00,7020.00,7020.00,0.00,0.00
1974:Q4,7404.00,116.00,7288.00,7404.00,7404.00,0.00,0.00
1975:Q1,12188.00,4576.00,7612.00,12188.00,12188.00,0.00,0.00
1975:Q2,9400.00,1516.00,7884.00,9400.00,9400.00,0.00,0.00
1975:Q3,8236.00,156.00,8080.00,8236.00,8236.00,0.00,0.00
1975:Q4,11084.00,2876.00,8208.00,11084.00,11084.00,0.00,0.00
1976:Q1,7956.00,-396.00,8352.00,7956.00,7956.00,0.00,0.00
1976:Q2,9840.00,1336.00,8504.00,9840.00,9840.00,0.00,0.00
1976:Q3,8888.00,212.00,8676.00,8888.00,8888.00,0.00,0.00
1976:Q4,10108.00,1244.00,8864.00,10108.00,10108.00,0.00,0.00
1977:Q1,9200.00,208.00,8992.00,9200.00,9200.00,0.00,0.00
1977:Q2,9732.00,668.00,9064.00,9732.00,9732.00,0.00,0.00
1977:Q3,9744.00,396.00,9348.00,9744.00,9744.00,0.00,0.00
1977:Q4,11260.00,1412.00,9848.00,11260.00,11260.00,0.00,0.00
1978:Q1,10624.00,212.00,10412.00,10624.00,10624.00,0.00,0.00
1978:Q2,12276.00,1224.00,11052.00,12276.00,12276.00,0.00,0.00
1978:Q3,11460.00,268.00,11192.00,11460.00,11460.00,0.00,0.00
1978:Q4,11884.00,1056.00,10828.00,11884.00,11884.00,0.00,0.00
1979:Q1,10532.00,-72.00,10604.00,10532.00,10532.00,0.00,0.00
1979:Q2,11580.00,1052.00,10528.00,11580.00,11580.00,0.00,0.00
1979:Q3,10388.00,8.00,10380.00,10388.00,10388.00,0.00,0.00
1979:Q4,11244.00,1084.00,10160.00,11244.00,11244.00,0.00,0.00
1980:Q1,9836.00,-128.00,9964.00,9836.00,9836.00,0.00,0.00
1980:Q2,10760.00,976.00,9784.00,10760.00,10760.00,0.00,0.00
1980:Q3,9672.00,72.00,9600.00,9672.00,9672.00,0.00,0.00
1980:Q4,10748.00,1340.00,9408.00,10748.00,10748.00,0.00,0.00
1981:Q1,9172.00,-128.00,9300.00,9172.00,9172.00,0.00,0.00
1981:Q2,10604.00,1336.00,9268.00,10604.00,10604.00,0.00,0.00
1981:Q3,8832.00,-96.00,8928.00,8832.00,8832.00,0.00,0.00
1981:Q4,9720.00,1440.00,8280.00,9720.00,9720.00,0.00,0.00
1982:Q1,7676.00,140.00,7536.00,7676.00,7676.00,0.00,0.00
1982:Q2,8144.00,1456.00,6688.00,8144.00,8144.00,0.00,0.00
1982:Q3,6588.00,40.00,6548.00,6588.00,6588.00,0.00,0.00
1982:Q4,8860.00,1748.00,7112.00,8860.00,8860.00,0.00,0.00
1983:Q1,7664.00,112.00,7552.00,7664.00,7664.00,0.00,0.00
1983:Q2,9480.00,1620.00,7860.00,9480.00,9480.00,0.00,0.00
1983:Q3,8184.00,208.00,7976.00,8184.00,8184.00,0.00,0.00
1983:Q4,9788.00,1892.00,7896.00,9788.00,9788.00,0.00,0.00
1984:Q1,5044.00,344.00,4700.00,5044.00,5044.00,0.00,0.00
1984:Q2,6092.00,1816.00,4276.00,6092.00,6092.00,0.00,0.00
1984:Q3,5436.00,212.00,5224.00,5436.00,5436.00,0.00,0.00
1984:Q4,7628.00,1964.00,5664.00,7628.00,7628.00,0.00,0.00
1985:Q1,8452.00,144.00,8308.00,8452.00,8452.00,0.00,0.00
1985:Q2,11388.00,1876.00,9512.00,11388.00,11388.00,0.00,0.00
1985:Q3,11268.00,224.00,11044.00,11268.00,11268.00,0.00,0.00
1985:Q4,15088.00,2188.00,12900.00,15088.00,15088.00,0.00,0.00
1986:Q1,15720.00,120.00,15600.00,15720.00,15720.00,0.00,0.00
1986:Q2,18384.00,1984.00,16400.00,18384.00,18384.00,0.00,0.00
1986:Q3,18292.00,292.00,18000.00,18292.00,18292.00,0.00,0.00
1986:Q4,20656.00,1772.00,18884.00,20656.00,20656.00,0.00,0.00
1987:Q1,28020.00,508.00,27512.00,28020.00,28020.00,0.00,0.00
1987:Q2,25544.00,1956.00,23588.00,25544.00,25544.00,0.00,0.00
1987:Q3,29256.00,4124.00,25132.00,29256.00,29256.00,0.00,0.00
1987:Q4,16944.00,-1768.00,18712.00,16944.00,16944.00,0.00,0.00
1988:Q1,23900.00,84.00,23816.00,23900.00,23900.00,0.00,0.00
1988:Q2,28804.00,2080.00,26724.00,28804.00,28804.00,0.00,0.00
1988:Q3,24432.00,148.00,24284.00,24432.00,24432.00,0.00,0.00
1988:Q4,33952.00,2380.00,31572.00,33952.00,33952.00,0.00,0.00
1989:Q1,15296.00,88.00,15208.00,15296.00,15296.00,0.00,0.00
1989:Q2,34108.00,2108.00,32000.00,34108.00,34108.00,0.00,0.00
1989:Q3,22560.00,-32.00,22592.00,22560.00,22560.00,0.00,0.00
1989:Q4,45376.00,2464.00,42912.00,45376.00,45376.00,0.00,0.00
1990:Q1,25576.00,-16.00,25592.00,25576.00,25576.00,0.00,0.00
1990:Q2,30148.00,2192.00,27956.00,30148.00,30148.00,0.00,0.00
1990:Q3,27672.00,140.00,27532.00,27672.00,27672.00,0.00,0.00
1990:Q4,24696.00,2436.00,22260.00,24696.00,24696.00,0.00,0.00
1991:Q1,24116.00,244.00,23872.00,24116.00,24116.00,0.00,0.00
1991:Q2,34148.00,2288.00,31860.00,34148.00,34148.00,0.00,0.00
1991:Q3,17600.00,-436.00,18036.00,17600.00,17600.00,0.00,0.00
1991:Q4,24824.00,2688.00,22136.00,24824.00,24824.00,0.00,0.00
1992:Q1,28796.00,-464.00,29260.00,28796.00,28796.00,0.00,0.00
1992:Q2,17688.00,2452.00,15236.00,17688.00,17688.00,0.00,0.00
1992:Q3,36724.00,668.00,36056.00,36724.00,36724.00,0.00,0.00
1992:Q4,31240.00,3100.00,28140.00,31240.00,31240.00,0.00,0.00
1993:Q1,31516.00,12.00,31504.00,31516.00,31516.00,0.00,0.00
1993:Q2,36504.00,2560.00,33944.00,36504.00,36504.00,0.00,0.00
1993:Q3,37240.00,276.00,36964.00,37240.00,37240.00,0.00,0.00
1993:Q4,38256.00,2724.00,35532.00,38256.00,38256.00,0.00,0.00
1994:Q1,26472.00,24.00,26448.00,26472.00,26472.00,0.00,0.00
1994:Q2,26704.00,2716.00,23988.00,26704.00,26704.00,0.00,0.00
1994:Q3,67116.00,392.00,66724.00,67116.00,67116.00,0.00,0.00
1994:Q4,23248.00,1940.00,21308.00,23248.00,23248.00,0.00,0.00
1995:Q1,44592.00,200.00,44392.00,44592.00,44592.00,0.00,0.00
1995:Q2,52848.00,1724.00,51124.00,52848.00,52848.00,0.00,0.00
1995:Q3,28548.00,296.00,28252.00,28548.00,28548.00,0.00,0.00
1995:Q4,34744.00,1856.00,32888.00,34744.00,34744.00,0.00,0.00
1996:Q1,16216.00,368.00,15848.00,16216.00,16216.00,0.00,0.00
1996:Q2,30384.00,2432.00,27952.00,30384.00,30384.00,0.00,0.00
1996:Q3,56096.00,156.00,55940.00,56096.00,56096.00,0.00,0.00
1996:Q4,57852.00,-488.00,58340.00,57852.00,57852.00,0.00,0.00
1997:Q1,47260.00,2840.00,44420.00,47260.00,47260.00,0.00,0.00
1997:Q2,51524.00,2204.00,49320.00,51524.00,51524.00,0.00,0.00
1997:Q3,54580.00,-96.00,54676.00,54580.00,54580.00,0.00,0.00
1997:Q4,32008.00,2000.00,30008.00,32008.00,32008.00,0.00,0.00
1998:Q1,27284.00,720.00,26564.00,27284.00,27284.00,0.00,0.00
1998:Q2,39112.00,2612.00,36500.00,39112.00,39112.00,0.00,0.00
1998:Q3,32744.00,12.00,32732.00,32744.00,32744.00,0.00,0.00
1998:Q4,78388.00,1824.00,76564.00,78388.00,78388.00,0.00,0.00
1999:Q1,43528.00,676.00,42852.00,43528.00,43528.00,0.00,0.00
1999:Q2,58408.00,2696.00,55712.00,58408.00,58408.00,0.00,0.00
1999:Q3,27860.00,228.00,27632.00,27860.00,27860.00,0.00,0.00
1999:Q4,66256.00,2004.00,64252.00,66256.00,66256.00,0.00,0.00
2000:Q1,49052.00,1168.00,47884.00,49052.00,49052.00,0.00,0.00
2000:Q2,31180.00,2624.00,28556.00,31180.00,31180.00,0.00,0.00
2000:Q3,46048.00,216.00,45832.00,46048.00,46048.00,0.00,0.00
2000:Q4,45152.00,1752.00,43400.00,45152.00,45152.00,0.00,0.00
2001:Q1,100820.00,636.00,100184.00,100820.00,100820.00,0.00,0.00
2001:Q2,101772.00,2372.00,99400.00,101772.00,101772.00,0.00,0.00
2001:Q3,12660.00,28.00,12632.00,12660.00,12660.00,0.00,0.00
2001:Q4,81120.00,2504.00,78616.00,81120.00,81120.00,0.00,0.00
2002:Q1,90552.00,-272.00,90824.00,90552.00,90552.00,0.00,0.00
2002:Q2,94108.00,4000.00,90108.00,94108.00,94108.00,0.00,0.00
2002:Q3,59448.00,-116.00,59564.00,59448.00,59448.00,0.00,0.00
2002:Q4,-5992.00,2680.00,-8672.00,-5992.00,-5992.00,0.00,0.00
2003:Q1,70608.00,76.00,70532.00,70608.00,70608.00,0.00,0.00
2003:Q2,71732.00,1680.00,70052.00,71732.00,71732.00,0.00,0.00
2003:Q3,78452.00,548.00,77904.00,78452.00,78452.00,0.00,0.00
2003:Q4,39072.00,2200.00,36872.00,39072.00,39072.00,0.00,0.00
2004:Q1,-1392.00,-48.00,-1344.00,-1392.00,-1392.00,0.00,0.00
2004:Q2,43312.00,1888.00,41424.00,43312.00,43312.00,0.00,0.00
2004:Q3,36776.00,216.00,36560.00,36776.00,36776.00,0.00,0.00
2004:Q4,40944.00,2288.00,38656.00,40944.00,40944.00,0.00,0.00
2005:Q1,11276.00,4.00,11272.00,11276.00,11276.00,0.00,0.00
2005:Q2,868.00,1672.00,-804.00,868.00,868.00,0.00,0.00
2005:Q3,32744.00,280.00,32464.00,32744.00,32744.00,0.00,0.00
2005:Q4,5040.00,2588.00,2452.00,5040.00,5040.00,0.00,0.00
2006:Q1,85468.00,304.00,85164.00,85468.00,85468.00,0.00,0.00
2006:Q2,11292.00,2220.00,9072.00,11292.00,6848.00,7320.00,-2876.00
2006:Q3,62204.00,548.00,61656.00,62204.00,49688.00,11224.00,1292.00
2006:Q4,73776.00,2936.00,70840.00,73776.00,59316.00,14304.00,156.00
2007:Q1,19604.00,1444.00,18160.00,19604.00,6864.00,12864.00,-124.00
2007:Q2,34108.00,2268.00,31840.00,34108.00,26708.00,5528.00,1872.00
2007:Q3,12916.00,-64.00,12980.00,12916.00,-12936.00,9148.00,16704.00
2007:Q4,38012.00,2612.00,35400.00,38012.00,19248.00,16056.00,2708.00
2008:Q1,28120.00,-348.00,28468.00,28120.00,25116.00,4152.00,-1148.00
2008:Q2,37364.00,1952.00,35412.00,37364.00,39080.00,12056.00,-13772.00
2008:Q3,98568.00,-464.00,99032.00,98568.00,70020.00,26320.00,2228.00
2008:Q4,85092.00,2772.00,82320.00,85092.00,93776.00,-16732.00,8048.00
2009:Q1,64344.00,-232.00,64576.00,64344.00,58664.00,-1060.00,6740.00
2009:Q2,-2252.00,2060.00,-4312.00,-2252.00,-3600.00,2724.00,-1376.00
2009:Q3,-6104.00,140.00,-6244.00,-6104.00,-6240.00,-2960.00,3096.00
2009:Q4,37676.00,2424.00,35252.00,37676.00,33564.00,4320.00,-208.00
2010:Q1,1312.00,-380.00,1692.00,1312.00,-3880.00,2460.00,2732.00
2010:Q2,11116.00,708.00,10408.00,11116.00,-992.00,2860.00,9248.00
2010:Q3,50284.00,660.00,49624.00,50284.00,42788.00,6124.00,1372.00
2010:Q4,-484.00,2460.00,-2944.00,-484.00,-8656.00,6512.00,1660.00
2011:Q1,50864.00,280.00,50584.00,50864.00,45328.00,5360.00,176.00
2011:Q2,58088.00,1728.00,56360.00,58088.00,54636.00,3952.00,-500.00
2011:Q3,123696.00,1156.00,122540.00,123696.00,113712.00,4112.00,5872.00
2011:Q4,77836.00,1888.00,75948.00,77836.00,66042.00,7556.00,4238.00
2012:Q1,-17148.00,424.00,-17572.00,-17148.00,-54102.00,12420.00,24534.00
2012:Q2,-66084.00,1440.00,-67524.00,-66084.00,-75152.00,4804.00,4264.00
2012:Q3,7524.00,-220.00,7744.00,7524.00,-4220.00,5940.00,5804.00
2012:Q4,12584.00,-496.00,13080.00,12584.00,11532.00,6356.00,-5304.00
2013:Q1,5196.00,164.00,5032.00,5196.00,-4484.00,4728.00,4952.00
2013:Q2,20592.00,732.00,19860.00,20592.00,14752.00,4692.00,1148.00
2013:Q3,32632.00,-496.00,33128.00,32632.00,23256.00,4860.00,4516.00
2013:Q4,32600.00,520.00,32080.00,32600.00,14284.00,8704.00,9612.00
2014:Q1,31944.00,-80.00,32024.00,31944.00,21568.00,5644.00,4732.00
2014:Q2,42000.00,552.00,41448.00,42000.00,30788.00,5960.00,5252.00
2014:Q3,46528.00,1224.00,45304.00,46528.00,36760.00,4964.00,4804.00
2014:Q4,63648.00,1384.00,62264.00,63648.00,51400.00,6916.00,5332.00
2015:Q1,59900.00,-2084.00,61984.00,59900.00,50516.00,5184.00,4200.00
2015:Q2,34800.00,924.00,33876.00,34800.00,22176.00,8624.00,4000.00
2015:Q3,58628.00,-580.00,59208.00,58628.00,48992.00,5636.00,4000.00
2015:Q4,31396.00,1308.00,30088.00,31396.00,20748.00,6648.00,4000.00
2016:Q1,22736.00,-396.00,23132.00,22736.00,13204.00,5532.00,4000.00
2016:Q2,83816.00,780.00,83036.00,83816.00,74124.00,5692.00,4000.00
2016:Q3,38768.00,64.00,38704.00,38768.00,28816.00,5952.00,4000.00
2016:Q4,51991.00,8.00,51983.00,51991.00,42703.00,5288.00,4000.00
