date,FG384104005.Q,FG154104005.Q,FG153165105.Q,FG153166000.Q,FG144104005.Q,FG104104005.Q,FG314104005.Q,FG214104005.Q,FG794104005.Q,FG264104005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-2.62,22.50,23.49,43.78,12.81,11.87,-9.07,0.38,-7.85,46.69
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3.70,24.53,22.37,36.01,13.54,13.86,-2.77,12.85,0.29,47.89
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3.49,18.95,18.24,22.82,10.21,10.73,-2.17,9.81,38.80,11.61
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,4.25,15.35,12.96,18.63,3.71,2.52,1.64,5.73,18.02,1.26
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,6.93,21.62,20.11,23.60,11.04,9.39,-0.18,27.63,31.54,1.07
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,5.56,11.35,14.21,5.86,12.73,11.97,0.12,11.20,7.20,4.61
1952:Q1,8.37,12.39,12.71,9.41,6.25,5.65,5.01,35.31,-20.57,6.01
1952:Q2,8.54,15.18,11.95,24.60,8.66,7.14,2.16,42.04,47.68,5.98
1952:Q3,7.16,12.98,12.12,16.49,8.93,8.75,2.84,16.79,-7.88,2.06
1952:Q4,6.78,15.05,12.59,25.73,8.79,9.16,1.21,16.75,43.68,-1.44
1953:Q1,7.26,18.53,12.84,25.87,6.26,7.58,1.92,15.83,-11.72,-0.88
1953:Q2,6.33,13.40,13.84,10.86,5.27,4.38,2.51,15.58,21.86,-4.31
1953:Q3,8.31,9.50,11.51,9.28,5.68,4.80,8.12,15.12,31.14,1.38
1953:Q4,3.00,8.74,10.92,5.40,-0.49,1.05,0.47,14.69,13.98,4.44
1954:Q1,3.95,7.82,10.36,-2.13,5.20,4.93,0.00,14.28,-25.37,1.21
1954:Q2,5.03,11.42,15.92,3.63,3.95,1.66,1.16,14.30,26.31,-2.73
1954:Q3,4.80,9.76,10.83,3.76,7.21,5.06,-0.23,13.74,2.38,1.04
1954:Q4,7.07,14.43,16.83,10.21,4.17,4.23,3.80,14.04,13.70,7.65
1955:Q1,6.19,18.65,16.95,17.11,5.58,4.54,-0.99,13.39,1.23,-4.06
1955:Q2,7.84,18.40,17.00,21.78,10.82,8.59,-0.02,12.03,26.85,1.89
1955:Q3,6.92,16.11,15.24,19.16,9.09,7.16,-0.09,11.24,19.36,-0.39
