date,FL152000005.Q,FL152010005.Q,LM155035005.Q,LM155035015.Q,LM165035005.Q,FL165015205.Q,FL165013765.Q,FL155111005.Q,FL154090005.Q,FL153091003.Q,FL153020005.Q,FL153030005.Q,FL153034005.Q,FL154022005.Q,FL153061105.Q,FL153061705.Q,FL153062005.Q,FL153063005.Q,FL154023005.Q,FL153069005.Q,FL153065005.Q,FL163066223.Q,LM153064105.Q,LM153064205.Q,FL163070005.Q,FL153040005.Q,FL153050005.Q,FL152090205.Q,FL153090005.Q,FL154190005.Q,FL163162003.Q,FL154123005.Q,FL153165105.Q,FL153166000.Q,FL153168005.Q,FL153169005.Q,FL163165505.Q,FL163170005.Q,FL543077073.Q,FL152090005.Q,FL893131573.Q,FL154023205.Q,LM154023223.Q,FL154023213.Q,FL155012605.Q,FL155012665.Q,FL165012665.Q,FL165013665.Q,FA156012005.Q,FL152090006.Q,FL155035065.Q,FL155035066.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1084908.00,313687.00,229359.00,199326.00,30033.00,944.00,310.00,83074.00,771221.00,0.00,58083.00,62248.00,0.00,77229.00,65817.00,95.00,4629.00,6688.00,16922.00,654.00,16268.00,0.00,135486.00,1516.00,0.00,49353.00,79319.00,283078.00,7987.00,55109.00,0.00,53423.00,33422.00,16332.00,161.00,2787.00,721.00,851.00,835.00,1029799.00,ND,ND,ND,ND,177521.00,170505.00,7016.00,16805.00,194456.00,529.58,165904.00,83.23
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1134091.00,340071.00,246931.00,216535.00,30396.00,1043.00,315.00,91782.00,794020.00,0.00,56325.00,64842.00,0.00,77290.00,67256.00,29.00,3724.00,6281.00,17695.00,702.00,16993.00,0.00,142455.00,3071.00,0.00,52104.00,87060.00,284821.00,8357.00,63409.00,0.00,61621.00,37754.00,19374.00,177.00,3350.00,966.00,884.00,904.00,1070682.00,ND,ND,ND,ND,189242.00,182072.00,7170.00,16678.00,194511.00,550.45,178781.00,82.56
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1238906.00,387298.00,278126.00,243315.00,34811.00,1346.00,345.00,107481.00,851608.00,0.00,58904.00,67207.00,0.00,78096.00,66500.00,121.00,5465.00,6010.00,18660.00,971.00,17689.00,0.00,164696.00,3344.00,0.00,55049.00,95244.00,301716.00,8692.00,76901.00,0.00,74943.00,45348.00,23947.00,319.00,4063.00,1266.00,951.00,1007.00,1162005.00,ND,ND,ND,ND,216787.00,209065.00,7722.00,19462.00,214992.00,540.49,197967.00,81.36
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1356059.00,430936.00,308963.00,270874.00,38089.00,1592.00,366.00,120015.00,925123.00,0.00,63347.00,72177.00,0.00,77532.00,65426.00,79.00,5740.00,6287.00,19516.00,893.00,18623.00,0.00,184698.00,3482.00,0.00,57777.00,108809.00,328509.00,9276.00,85567.00,0.00,83447.00,51792.00,25350.00,550.00,4186.00,1569.00,1034.00,1086.00,1270492.00,ND,ND,ND,ND,239054.00,230941.00,8113.00,21700.00,237400.00,535.17,219082.00,80.88
1952:Q1,1374569.00,437119.00,311906.00,273170.00,38736.00,1635.00,365.00,123213.00,937450.00,0.00,62451.00,73469.00,0.00,80001.00,66245.00,123.00,7499.00,6134.00,19400.00,748.00,18652.00,0.00,186383.00,3612.00,0.00,58445.00,112851.00,331382.00,9456.00,86307.00,0.00,84144.00,53149.00,24597.00,550.00,4229.00,1619.00,1058.00,1105.00,1288262.00,ND,ND,ND,ND,243022.00,234869.00,8153.00,22152.00,243603.00,528.84,220021.00,80.54
1952:Q2,1400699.00,448851.00,322754.00,283505.00,39249.00,1683.00,366.00,124048.00,951848.00,0.00,60701.00,75744.00,0.00,82094.00,65904.00,0.00,9835.00,6355.00,19608.00,695.00,18913.00,0.00,192556.00,3696.00,0.00,59153.00,116622.00,332041.00,9633.00,90493.00,0.00,88286.00,54880.00,26878.00,533.00,4300.00,1695.00,1084.00,1123.00,1310206.00,ND,ND,ND,ND,248013.00,239789.00,8224.00,22346.00,246634.00,531.23,228625.00,80.64
1952:Q3,1416794.00,453492.00,324183.00,284584.00,39599.00,1698.00,369.00,127242.00,963302.00,0.00,63517.00,77273.00,0.00,83781.00,67045.00,0.00,10606.00,6130.00,19803.00,677.00,19126.00,0.00,192065.00,3837.00,0.00,59892.00,120444.00,332879.00,9811.00,93522.00,0.00,91270.00,56721.00,27965.00,466.00,4347.00,1771.00,1110.00,1142.00,1323272.00,ND,ND,ND,ND,253239.00,244937.00,8302.00,22566.00,253244.00,522.53,227863.00,80.07
1952:Q4,1424925.00,464001.00,334895.00,294752.00,40143.00,1728.00,375.00,127003.00,960924.00,0.00,65505.00,79651.00,0.00,84342.00,67389.00,-1.00,10957.00,5997.00,20003.00,714.00,19289.00,0.00,181107.00,3932.00,0.00,60665.00,124409.00,330662.00,10648.00,97960.00,0.00,95665.00,58486.00,30522.00,417.00,4404.00,1836.00,1133.00,1162.00,1326965.00,ND,ND,ND,ND,254699.00,246447.00,8252.00,22895.00,259116.00,512.11,236266.00,80.16
1953:Q1,1437187.00,472953.00,340387.00,300182.00,40205.00,1786.00,380.00,130400.00,964234.00,0.00,66259.00,81545.00,0.00,84729.00,66956.00,52.00,11875.00,5846.00,20356.00,737.00,19619.00,0.00,177857.00,3867.00,0.00,61439.00,128324.00,329029.00,10829.00,100274.00,0.00,97936.00,60073.00,30901.00,431.00,4618.00,1913.00,1154.00,1184.00,1336913.00,ND,ND,ND,ND,257755.00,249490.00,8265.00,22864.00,263286.00,507.78,240109.00,79.99
1953:Q2,1443619.00,481977.00,347238.00,306680.00,40558.00,1854.00,386.00,132499.00,961642.00,0.00,63030.00,84177.00,0.00,88303.00,69312.00,135.00,12743.00,6113.00,20525.00,639.00,19886.00,0.00,168582.00,3778.00,0.00,62199.00,132392.00,327660.00,10996.00,104767.00,0.00,102387.00,62293.00,32672.00,571.00,4864.00,1987.00,1173.00,1207.00,1338852.00,ND,ND,ND,ND,260931.00,252650.00,8281.00,23100.00,267131.00,501.20,244387.00,79.69
1953:Q3,1460494.00,493038.00,357332.00,316348.00,40984.00,1925.00,390.00,133391.00,967456.00,0.00,65669.00,85755.00,0.00,88627.00,69128.00,209.00,13542.00,5748.00,20683.00,663.00,20020.00,0.00,163848.00,3753.00,0.00,62937.00,136525.00,328513.00,11146.00,107296.00,0.00,104873.00,64272.00,33354.00,347.00,4850.00,2050.00,1192.00,1231.00,1353198.00,ND,ND,ND,ND,265999.00,257640.00,8359.00,23321.00,267312.00,506.22,252076.00,79.68
1953:Q4,1484657.00,493418.00,355919.00,315055.00,40864.00,1980.00,394.00,135125.00,991239.00,0.00,66817.00,87886.00,0.00,88052.00,68038.00,154.00,13873.00,5987.00,20993.00,708.00,20285.00,0.00,177572.00,4146.00,0.00,63647.00,140617.00,330216.00,11293.00,110689.00,0.00,108223.00,66003.00,34614.00,478.00,4996.00,2132.00,1212.00,1254.00,1373968.00,ND,ND,ND,ND,267599.00,259270.00,8329.00,23202.00,267572.00,513.49,249052.00,79.05
1954:Q1,1507080.00,498303.00,357485.00,316592.00,40893.00,2045.00,399.00,138374.00,1008777.00,0.00,65248.00,89888.00,0.00,88441.00,68196.00,140.00,14386.00,5719.00,21278.00,786.00,20492.00,0.00,188593.00,4512.00,0.00,64339.00,144626.00,330444.00,11408.00,110561.00,0.00,108053.00,67416.00,32744.00,583.00,5086.00,2224.00,1233.00,1275.00,1396519.00,ND,ND,ND,ND,269603.00,261290.00,8313.00,23239.00,270296.00,516.66,249176.00,78.71
1954:Q2,1532367.00,501397.00,361814.00,320732.00,41082.00,2109.00,404.00,137070.00,1030970.00,0.00,64264.00,92829.00,0.00,87995.00,67555.00,140.00,14678.00,5622.00,21650.00,833.00,20817.00,0.00,203782.00,4895.00,0.00,65018.00,148566.00,330484.00,11487.00,114932.00,0.00,112383.00,70234.00,34006.00,510.00,5311.00,2322.00,1255.00,1294.00,1417435.00,ND,ND,ND,ND,274106.00,265738.00,8368.00,23357.00,270192.00,524.60,250498.00,78.10
1954:Q3,1571754.00,510861.00,371385.00,329781.00,41604.00,2121.00,410.00,136945.00,1060893.00,0.00,68491.00,94440.00,0.00,87072.00,66201.00,152.00,15246.00,5473.00,22026.00,919.00,21107.00,0.00,221823.00,5469.00,0.00,65687.00,152538.00,331774.00,11573.00,117763.00,0.00,115171.00,72336.00,34242.00,581.00,5615.00,2397.00,1277.00,1315.00,1453991.00,ND,ND,ND,ND,281417.00,272913.00,8504.00,23716.00,272157.00,534.25,257445.00,78.07
1954:Q4,1593920.00,520897.00,379599.00,337554.00,42045.00,2160.00,417.00,138721.00,1073023.00,0.00,68895.00,97182.00,0.00,87050.00,66087.00,147.00,15964.00,4852.00,22443.00,1020.00,21423.00,0.00,222895.00,6110.00,0.00,66349.00,156605.00,333826.00,11668.00,123092.00,0.00,120453.00,75356.00,35963.00,675.00,6047.00,2412.00,1298.00,1341.00,1470828.00,ND,ND,ND,ND,285684.00,277143.00,8541.00,24096.00,277090.00,530.81,262198.00,77.68
1955:Q1,1619037.00,527833.00,384467.00,341601.00,42866.00,2175.00,425.00,140766.00,1091204.00,0.00,68572.00,99274.00,0.00,88913.00,67640.00,39.00,16484.00,4750.00,22819.00,1023.00,21796.00,0.00,229212.00,6525.00,0.00,67031.00,160719.00,336329.00,11810.00,126315.00,0.00,123626.00,78237.00,35702.00,804.00,6442.00,2441.00,1318.00,1371.00,1492722.00,ND,ND,ND,ND,292132.00,283500.00,8632.00,24616.00,282520.00,528.36,263364.00,77.10
1955:Q2,1660919.00,540621.00,394908.00,350860.00,44048.00,2227.00,432.00,143054.00,1120298.00,0.00,66169.00,101868.00,0.00,90418.00,68240.00,117.00,17509.00,4552.00,23002.00,913.00,22089.00,0.00,249889.00,7186.00,0.00,67740.00,165063.00,337045.00,11918.00,133426.00,0.00,130685.00,81697.00,38755.00,1386.00,6552.00,2295.00,1336.00,1405.00,1527493.00,ND,ND,ND,ND,299839.00,291081.00,8758.00,25277.00,289051.00,528.45,269163.00,76.72
1955:Q3,1705099.00,555204.00,406169.00,360688.00,45481.00,2314.00,442.00,146279.00,1149895.00,0.00,69654.00,103362.00,0.00,92454.00,69181.00,232.00,18360.00,4681.00,23300.00,985.00,22315.00,0.00,263912.00,7257.00,0.00,68498.00,169458.00,339991.00,12009.00,138787.00,0.00,135989.00,85032.00,40543.00,1451.00,6701.00,2262.00,1356.00,1442.00,1566312.00,ND,ND,ND,ND,307069.00,298199.00,8870.00,26096.00,295529.00,530.00,275656.00,76.43
1955:Q4,1730487.00,565457.00,414487.00,367383.00,47104.00,2412.00,455.00,148103.00,1165030.00,0.00,70036.00,105783.00,0.00,93597.00,68843.00,605.00,19174.00,4975.00,23624.00,899.00,22725.00,0.00,265154.00,7839.00,0.00,69254.00,173766.00,343804.00,12173.00,144426.00,0.00,141563.00,87936.00,42949.00,1799.00,6713.00,2166.00,1381.00,1482.00,1586061.00,ND,ND,ND,ND,312167.00,303243.00,8924.00,27167.00,299805.00,529.03,279447.00,76.06
1956:Q1,1774688.00,577332.00,424188.00,375328.00,48860.00,2484.00,466.00,150194.00,1197356.00,0.00,69363.00,107946.00,0.00,95931.00,70474.00,721.00,19569.00,5167.00,24171.00,972.00,23199.00,0.00,281337.00,8555.00,0.00,70104.00,178087.00,349615.00,12247.00,146185.00,0.00,143247.00,90356.00,42251.00,1432.00,6770.00,2438.00,1413.00,1525.00,1628503.00,ND,ND,ND,ND,317878.00,308867.00,9011.00,28559.00,304135.00,535.45,284972.00,75.93
1956:Q2,1789688.00,588163.00,433166.00,383760.00,49406.00,2555.00,478.00,151964.00,1201525.00,0.00,67940.00,110925.00,0.00,97192.00,70183.00,958.00,20436.00,5615.00,24509.00,835.00,23674.00,0.00,272249.00,8613.00,0.00,71013.00,182354.00,354374.00,12356.00,151446.00,0.00,148421.00,93327.00,44281.00,1388.00,6856.00,2569.00,1452.00,1573.00,1638242.00,ND,ND,ND,ND,326008.00,316843.00,9165.00,28667.00,309099.00,530.01,290433.00,75.68
1956:Q3,1811347.00,599570.00,440946.00,390218.00,50728.00,2651.00,490.00,155483.00,1211777.00,0.00,70649.00,112516.00,0.00,98840.00,70632.00,1115.00,21308.00,5785.00,24843.00,867.00,23976.00,0.00,267245.00,8506.00,0.00,71904.00,186928.00,357913.00,12433.00,154833.00,0.00,151718.00,96174.00,44978.00,874.00,6905.00,2787.00,1493.00,1622.00,1656514.00,ND,ND,ND,ND,329510.00,320322.00,9188.00,29667.00,313701.00,528.06,294044.00,75.35
1956:Q4,1854297.00,608074.00,445773.00,394263.00,51510.00,2726.00,502.00,159073.00,1246223.00,0.00,71883.00,115230.00,0.00,99195.00,70225.00,959.00,21900.00,6111.00,25209.00,882.00,24327.00,0.00,287591.00,9046.00,0.00,72724.00,191968.00,360829.00,12548.00,159600.00,0.00,156401.00,98745.00,46580.00,1181.00,7034.00,2861.00,1530.00,1669.00,1694697.00,ND,ND,ND,ND,330926.00,321771.00,9155.00,30183.00,320348.00,529.02,295518.00,74.95
1957:Q1,1868050.00,619054.00,453596.00,401222.00,52374.00,2825.00,516.00,162117.00,1248996.00,0.00,70827.00,118462.00,0.00,101202.00,70878.00,933.00,22537.00,6854.00,25686.00,815.00,24871.00,0.00,274073.00,9106.00,0.00,73468.00,199016.00,364484.00,12672.00,160761.00,0.00,157484.00,100851.00,45242.00,1507.00,7006.00,2878.00,1563.00,1714.00,1707289.00,ND,ND,ND,ND,333457.00,324311.00,9146.00,30836.00,324179.00,526.65,300371.00,74.86
1957:Q2,1909972.00,630623.00,461358.00,408017.00,53341.00,2873.00,529.00,165863.00,1279349.00,0.00,68709.00,121985.00,0.00,101750.00,70743.00,1154.00,22812.00,7041.00,26147.00,814.00,25333.00,0.00,290373.00,9687.00,0.00,74135.00,206575.00,367235.00,12753.00,165828.00,0.00,162474.00,103039.00,47223.00,1972.00,7317.00,2923.00,1594.00,1760.00,1744144.00,ND,ND,ND,ND,337698.00,328514.00,9184.00,31557.00,328541.00,530.88,304978.00,74.75
1957:Q3,1911170.00,639377.00,468792.00,414670.00,54122.00,2952.00,542.00,167091.00,1271793.00,0.00,71361.00,123872.00,0.00,103628.00,71650.00,1100.00,23526.00,7352.00,26676.00,833.00,25843.00,0.00,264793.00,9001.00,0.00,74784.00,214010.00,370840.00,12828.00,168971.00,0.00,165542.00,105397.00,47971.00,1724.00,7327.00,3123.00,1625.00,1804.00,1742199.00,ND,ND,ND,ND,343177.00,333920.00,9257.00,32063.00,332983.00,523.21,309273.00,74.58
1957:Q4,1930977.00,643776.00,471674.00,417162.00,54512.00,3050.00,555.00,168497.00,1287201.00,0.00,71024.00,127167.00,0.00,103997.00,71507.00,1463.00,23851.00,7176.00,27177.00,894.00,26283.00,0.00,266234.00,8714.00,0.00,75462.00,221333.00,373182.00,12911.00,172076.00,0.00,168575.00,107374.00,49217.00,1568.00,7160.00,3256.00,1658.00,1843.00,1758901.00,ND,ND,ND,ND,344768.00,335544.00,9224.00,32312.00,332703.00,528.67,309788.00,74.26
1958:Q1,1962970.00,644343.00,468427.00,414465.00,53962.00,3092.00,571.00,172253.00,1318627.00,0.00,70884.00,130705.00,0.00,104522.00,70949.00,1208.00,24382.00,7983.00,27701.00,951.00,26750.00,0.00,280386.00,9463.00,0.00,76183.00,226766.00,378990.00,13027.00,171212.00,0.00,167641.00,108975.00,46775.00,762.00,7550.00,3579.00,1694.00,1877.00,1791758.00,ND,ND,ND,ND,346515.00,337286.00,9229.00,31750.00,334244.00,536.06,305490.00,73.71
1958:Q2,1993442.00,650042.00,474349.00,419841.00,54508.00,3155.00,589.00,171949.00,1343400.00,0.00,67351.00,134835.00,0.00,102628.00,71186.00,824.00,23317.00,7301.00,28584.00,1045.00,27539.00,0.00,294788.00,10610.00,0.00,76958.00,232144.00,382457.00,13045.00,174783.00,0.00,171149.00,111142.00,47704.00,333.00,8111.00,3859.00,1731.00,1903.00,1818659.00,ND,ND,ND,ND,349943.00,340665.00,9278.00,32246.00,337089.00,539.52,308699.00,73.53
1958:Q3,2050866.00,660432.00,484262.00,429327.00,54935.00,3205.00,608.00,172357.00,1390434.00,0.00,72831.00,137708.00,0.00,100997.00,68645.00,798.00,23794.00,7760.00,29284.00,1116.00,28168.00,0.00,323591.00,11791.00,0.00,77752.00,237630.00,385686.00,13164.00,178359.00,0.00,174659.00,114035.00,47940.00,472.00,8280.00,3932.00,1769.00,1931.00,1872507.00,ND,ND,ND,ND,353169.00,343848.00,9321.00,32655.00,344140.00,544.11,315292.00,73.44
1958:Q4,2086402.00,670313.00,493819.00,438440.00,55379.00,3263.00,628.00,172603.00,1416089.00,0.00,73738.00,141266.00,0.00,102011.00,68638.00,833.00,24616.00,7924.00,30043.00,1156.00,28887.00,0.00,333401.00,13242.00,0.00,78535.00,243343.00,387268.00,13242.00,184149.00,0.00,180371.00,117177.00,49490.00,1239.00,8591.00,3874.00,1809.00,1969.00,1902253.00,ND,ND,ND,ND,357237.00,347851.00,9386.00,33047.00,348233.00,546.26,321263.00,73.27
1959:Q1,2108963.00,674223.00,493678.00,438052.00,55626.00,3341.00,648.00,176556.00,1434740.00,0.00,73282.00,143832.00,0.00,104576.00,69977.00,917.00,25460.00,8222.00,30602.00,1272.00,29330.00,0.00,339692.00,14132.00,0.00,79331.00,247721.00,388193.00,13379.00,186644.00,0.00,182567.00,119935.00,48991.00,781.00,8742.00,4118.00,2060.00,2017.00,1922319.00,ND,ND,ND,ND,361839.00,352383.00,9456.00,33190.00,353634.00,543.59,318117.00,72.62
1959:Q2,2143200.00,686599.00,504127.00,447672.00,56455.00,3414.00,669.00,178389.00,1456601.00,0.00,72456.00,147681.00,0.00,105163.00,69458.00,1523.00,26068.00,8114.00,31057.00,1118.00,29939.00,0.00,351283.00,14973.00,0.00,80133.00,252546.00,387796.00,13513.00,193679.00,0.00,189505.00,123346.00,51878.00,1016.00,8985.00,4280.00,2100.00,2074.00,1949521.00,ND,ND,ND,ND,366661.00,357131.00,9530.00,33765.00,360706.00,540.47,324326.00,72.45
1959:Q3,2161829.00,697396.00,513598.00,456362.00,57236.00,3487.00,689.00,179622.00,1464433.00,0.00,76025.00,149934.00,0.00,107662.00,70444.00,2011.00,27058.00,8149.00,31345.00,1031.00,30314.00,0.00,345399.00,14747.00,0.00,80994.00,257312.00,387354.00,13661.00,199894.00,0.00,195611.00,127007.00,53918.00,1320.00,8984.00,4382.00,2150.00,2133.00,1961935.00,ND,ND,ND,ND,371005.00,361413.00,9592.00,34297.00,362351.00,541.45,329355.00,72.17
1959:Q4,2201800.00,706020.00,521544.00,463647.00,57897.00,3550.00,710.00,180216.00,1495780.00,0.00,75571.00,152525.00,0.00,110430.00,71584.00,2267.00,28362.00,8217.00,30443.00,-358.00,30801.00,0.00,364442.00,15818.00,0.00,81956.00,262175.00,388619.00,13801.00,206702.00,0.00,202315.00,130099.00,57213.00,1424.00,9206.00,4373.00,2200.00,2187.00,1995098.00,ND,ND,ND,ND,375594.00,365932.00,9662.00,34723.00,366933.00,543.72,333548.00,71.94
1960:Q1,2210423.00,720530.00,534527.00,475580.00,58947.00,3599.00,728.00,181676.00,1489893.00,0.00,73783.00,154522.00,0.00,115607.00,75466.00,1630.00,28972.00,9539.00,30621.00,-721.00,31342.00,0.00,344090.00,15312.00,0.00,82895.00,267741.00,391395.00,13927.00,207626.00,0.00,203148.00,132580.00,55757.00,908.00,9090.00,4813.00,2240.00,2238.00,2002797.00,ND,ND,ND,ND,378686.00,368853.00,9833.00,35346.00,371809.00,538.66,343000.00,72.12
